course_code,course_name
ACMP 342,WEB PAGE CONSTRUCTION
ACMP 343,DESKTOP APPLICATION AND DEVELOPMENT
ACMP 351,INTRODUCTION TO DATABASE
ACMP 426,WEB MEDIA TECHNOLOGIES
ACMP 428,UNIX SYSTEMS ADMINISTRATION AND PROGRAMMING (LINUX)
ACMP 445,COMPUTER ANIMATION
ACMP 452,DATA MINING AND KNOWLEDGE DISCOVERY IN DATABASES
ACMP 488,E-SYSTEMS (e-COMMERCE)
ACMP 489,TECHNOPRENEURSHIP AND CAREER CHOICES
ACMP 491,EMERGING TECHNOLOGIES IN APPLIED COMPUTER SCIENCE
ACMT 101,INTRODUCTION TO ACTUARIAL SCIENCE
ACMT 102,FUNDAMENTAL OF ACTUARIAL MATHEMATICS
ACMT 111,COMPUTATIONAL METHODS AND DATA ANALYSIS 1
ACMT 201,ACTUARIAL MATHEMATICS I
ACMT 202,FUNDAMENTAL OF ACTUARIAL MATHEMATICS II
ACMT 211,– COMPUTATIONAL METHODS AND DATA ANALYSIS II
ACMT 212,PRINCIPLES OF OPERATIONS RESEARCH
ACMT 301,LIFE CONTINGENCIES 1
ACMT 302,– ACTUARIAL MATHEMATICS II
ACMT 311,COMPUTATIONAL METHODS AND DATA ANALYSIS III
ACMT 312,– LINEAR MODELS AND FORECASTING
ACMT 390,RESEARCH METHODOLOGY MAIN EXAM
ACMT 391,ACMT 391
ACMT 401,LIFE CONTINGENCIES II
ACMT 402,FUNDAMENTAL PRINCIPLES OF FINANCIAL MANAGEMENT
ACMT 403,ACTUARIAL THEORY OF PENSION FUNDS
ACMT 404,MATHEMATICS OF DEMOGRAPHY AND GRADATION
ACMT 411,COMPUTATIONAL FINANCE
ACMT 412,SURVIVAL MODELS
ACMT 413,RISK MODELLING
ACSC 101,INTRODUCTION TO INFORMATION TECHNOLOGY
ACSC 102,INTRODUCTION TO DIGITAL LOGIC
ACSC 111,PRINCIPLES OF COMPUTER SYSTEM MANAGEMENT
ACSC 121,PROGRAMMING PARADIGMS
ACSC 122,INTRODUCTION TO STRUCTURAL PROGRAMMING USING C
ACSC 223,"OBJECT ORIENTED PROGRAMMING, JAVA (1)"
ACSC 224,STRUCTURAL PROGRAMMING PRINCIPLES
ACSC 225,DATA STRUCTURES AND ALGORITHMS
ACSC 226,WEB DESIGN AND DEVELOPMENT
ACSC 231,USER INTERFACE PROGRAMMING
ACSC 261,FOUNDATIONS OF DATA COMMUNICATIONS AND NETWORKS
ACSC 271,ACSC 271/ACMP 203: MATHEMATICAL METHODS FOR COMPUTER SCIENCE
ACSC 272,ACSC 272/COSC 471: SOCIAL IMPLICATIONS OF INFORMATION TECHNOLOGY
ACSC 273,E-BUSINESS FUNDAMENTALS
ACSC 327,WEB PROGRAMMING AND ADMINISTRATION
ACSC 328,OBJECT ORIENTED PROGRAMMING (IN C++)
ACSC 332,DESKTOP APPLICATION AND DEVELOPMENT
ACSC 333,SOFTWARE ENGINEERING I
ACSC 351,INTRODUCTION TO DATABASES
ACSC 352,FILE STRUCTURES AND DATABASE SYSTEMS
ACSC 371,"PROFESSIONAL COMPUTING ETHICS, LAWS AND MARKETING"
ACSC 381,& COSC 380: RESEARCH METHODS IN COMPUTER SCIENCE
ACSC 429,UNIX SYSTEMS ADMINISTRATION AND PROGRAMMING (LINUX)
ACSC 434,SOFTWARE ENGINEERING II
ACSC 462,COMPUTER AND NETWORK SECURITY
ACSC 475,WEB MEDIA TECHNOLOGIES
ACSC 477,EMERGING TECHNOLOGIES IN APPLIED COMPUTER SCIENCE
ACSC 478,COMPUTER ANIMATION
ACSC 479,TECHNO-PRENEURSHIP AND CAREER CHOICES
ACTM 102,FUNDAMENTALS OF ACTUARIAL MATHEMATICS I
AECC 811,ECOPHYSIOLOGY OF CROP PRODUCTION
AECC 812,AGRO ECOLOGICAL FARMING SYSTEMS
AFRE 121,INTRODUCTION TO FOREIGN LANGUAGES: FRENCH/GERMAN/CHINESE
